Abbreviation,Type_cond,Type,Support/Copolymer/metal-organic framework (MOF),IL Cation name,IL Cation SMILE,IL Anion name,IL Anion SMILE,PIL Monomer Cation name,PIL Monomer Cation SMILE,PIL Anion name,PIL Anion SMILE,Full Name,Material 1,Material 2,Material 3,Material 4,Material 5,Material 6,Temperatures (degC),Pressures (bar),P,P(CO2) Error,alph,alphErr,DOI URL,Article Title,Authors,Journal,J_abb,Volume,Page,Year,Institutions,Corresponding Author,Corresponding Author Email,Corresponding Author Institution
[bmim][BF4],SILM,SILM,Porous (150 nm) hydrophobic tetrafluoroethylene–vinylidene fluoride copolymers,1-Butyl-3-methylimidazolium [bmim],C[N+]1=CN(CCCC)C=C1,Tetrafluoroborate [BF4],F[B-](F)(F)F,,,,,Porous (150 nm) hydrophobic tetrafluoroethylene–vinylidene fluoride copolymers supported {[1-Butyl-3-methylimidazolium [bmim]] [Tetrafluoroborate [BF4]]},Porous (150 nm) hydrophobic tetrafluoroethylene–vinylidene fluoride copolymers,1-Butyl-3-methylimidazolium [bmim],Tetrafluoroborate [BF4],,,,23,1,95.07,0.94,13.2,0.5,https://dx.doi.org/10.1016/j.seppur.2016.11.074,Permeability and selectivity of acid gases in supported conventional and novel imidazolium-based ionic liquid membranes,"Akhmetshina, Alsu I.; Gumerova, Olesya R.; Atlaskin, Artem A.; Petukhov, Anton N.; Sazanova, Tatyana S.; Yanbikov, Nail R.; Nyuchev, Alexander V.; Razov, Evgeny N.; Vorotyntsev, Ilya V.",Separation and Purification Technology,Sep. Purif. Technol.,176,92-106,2017,"Nizhny Novgorod State Technical University, Nizhny Novgorod, Russian Federation ; Kazan National Research Technological University, Kazan, Republic of Tatarstan, Russian Federation ; Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation ; Russian Academy of Sciences, Nizhny Novgorod, Russian Federation","Vorotyntsev, Ilya V.",ilyavorotyntsev@me.com,"Nizhny Novgorod State Technical University, Nizhny Novgorod, Russian Federation"
[bmim][doc],SILM,SILM,Porous (150 nm) hydrophobic tetrafluoroethylene–vinylidene fluoride copolymers,1-Butyl-3-methylimidazolium [bmim],C[N+]1=CN(CCCC)C=C1,Bis(2-ethylhexyl) sulfosuccinate [doc],O=S([O-])(C(C(OCC(CCCC)CC)=O)CC(OCC(CCCC)CC)=O)=O,,,,,Porous (150 nm) hydrophobic tetrafluoroethylene–vinylidene fluoride copolymers supported {[1-Butyl-3-methylimidazolium [bmim]] [Bis(2-ethylhexyl) sulfosuccinate [doc]]},Porous (150 nm) hydrophobic tetrafluoroethylene–vinylidene fluoride copolymers,1-Butyl-3-methylimidazolium [bmim],Bis(2-ethylhexyl) sulfosuccinate [doc],,,,23,1,36.19,0.44,6.9,0.1,https://dx.doi.org/10.1016/j.seppur.2016.11.074,Permeability and selectivity of acid gases in supported conventional and novel imidazolium-based ionic liquid membranes,"Akhmetshina, Alsu I.; Gumerova, Olesya R.; Atlaskin, Artem A.; Petukhov, Anton N.; Sazanova, Tatyana S.; Yanbikov, Nail R.; Nyuchev, Alexander V.; Razov, Evgeny N.; Vorotyntsev, Ilya V.",Separation and Purification Technology,Sep. Purif. Technol.,176,92-106,2017,"Nizhny Novgorod State Technical University, Nizhny Novgorod, Russian Federation ; Kazan National Research Technological University, Kazan, Republic of Tatarstan, Russian Federation ; Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation ; Russian Academy of Sciences, Nizhny Novgorod, Russian Federation","Vorotyntsev, Ilya V.",ilyavorotyntsev@me.com,"Nizhny Novgorod State Technical University, Nizhny Novgorod, Russian Federation"
PSF,No IL Membrane,No IL Membrane,,,,,,,,,,Polysulfone [PSF],Polysulfone [PSF],,,,,,22,10,6.9,,25,,https://dx.doi.org/10.1016/j.jngse.2016.10.061,High-pressure CO 2 /N 2 and CO 2 /CH 4 separation using dense polysulfone-supported ionic liquid membranes,"Alkhouzaam, Abdulqader; Khraisheh, Majeda; Atilhan, Mert; Al-Muhtaseb, Shaheen A.; Qi, Letian; Rooney, David.",Journal of Natural Gas Science and Engineering,J. Nat. Gas Eng.,36,472-485,2016,"Qatar University, Doha, Qatar ; Queen's University Belfast, Belfast, Northern Ireland, UK","Khraisheh, Majeda",m.khraisheh@qu.edu.qa,"Qatar University, Doha, Qatar"
poly(MEBIm-TFSI),PIL,PIL,,,,,,(1-[(2-methacryloyloxy) ethyl]-3-butylimidazolium [MEBIm],CCCC[N+]1=CN(C=C1)CCOC(C(C)=C)=O,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,poly([(1-[(2-methacryloyloxy) ethyl]-3-butylimidazolium [MEBIm]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]),(1-[(2-methacryloyloxy) ethyl]-3-butylimidazolium [MEBIm],bis(trifluoromethylsulfonyl)imide [Tf2N],,,,,25,1,22.8,,24.1,,https://dx.doi.org/10.1016/j.memsci.2015.03.065,Influence of water vapor on the gas permeability of polymerized ionic liquids membranes,"Ansaloni, Luca; Nykaza, Jacob R.; Ye, Yuesheng; Elabd, Yossef A.; Giacinti Baschetti, Marco.",Journal of Membrane Science,J. Membr. Sci.,487,199-208,2015,"Università di Bologna, Bologna, Italy ; Drexel University, Philadelphia, PA, USA ; Texas A&M University, College Station, TX, USA","Ansaloni, Luca",luca.ansaloni6@unibo.it,"Università di Bologna, Bologna, Italy"
poly(MMA-b-MUBIm-TFSI),PIL-BCP,PIL-CP,poly(methyl methacrylate) [PMMA],,,,,(1-[(2-methacryloyloxy) undecyl]-3-butylimidazolium [MEBIm],CC(C(OCCCCCCCCCCN1C=[N+](CCCC)C=C1)=O)=C,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,poly(methyl methacrylate) [PMMA]-block-poly([(1-[(2-methacryloyloxy) ethyl]-3-butylimidazolium [MEBIm]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]),poly(methyl methacrylate) [PMMA],(1-[(2-methacryloyloxy) ethyl]-3-butylimidazolium [MEBIm],bis(trifluoromethylsulfonyl)imide [Tf2N],,,,25,1,25.8,,14.9,,https://dx.doi.org/10.1016/j.memsci.2015.03.065,Influence of water vapor on the gas permeability of polymerized ionic liquids membranes,"Ansaloni, Luca; Nykaza, Jacob R.; Ye, Yuesheng; Elabd, Yossef A.; Giacinti Baschetti, Marco.",Journal of Membrane Science,J. Membr. Sci.,487,199-208,2015,"Università di Bologna, Bologna, Italy ; Drexel University, Philadelphia, PA, USA ; Texas A&M University, College Station, TX, USA","Ansaloni, Luca",luca.ansaloni6@unibo.it,"Università di Bologna, Bologna, Italy"
ZIF-8 PSF based MMM (0.06),No IL Membrane,No IL Membrane,,,,,,,,,,polysulfone [PSF] with 0.06 volume fraction filler (Zeolitic imidazolate framework-8 [ZIF-8]) mixed matrix membrane,polysulfone [PSF],Zeolitic imidazolate framework-8 [ZIF-8],,,,,30,6,427,,19,,https://dx.doi.org/10.1002/anie.201505508,Confinement of Ionic Liquids in Nanocages: Tailoring the Molecular Sieving Properties of ZIF-8 for Membrane-Based CO2Capture,"Ban, Yujie; Li, Zhengjie; Li, Yanshuo; Peng, Yuan; Jin, Hua; Jiao, Wenmei; Guo, Ang; Wang, Po; Yang, Qingyuan; Zhong, Chongli; Yang, Weishen.",Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,54 (51),15483-15487,2015,"Dalian Institute of Chemical Physics, CAS, Dalian, China ; Beijing University of Chemical Technology, Beijing, China ; University of Chinese Academy of Sciences, Beijing, China","Li, Yanshuo",leeys@dicp.ac.cn,"Dalian Institute of Chemical Physics, CAS, Dalian, China"
IL([bmim][Tf2N])@ZIF-8 PSF based MMM (0.06),MMM,MMM,polysulfone [PSF] - Zeolite imidazolate framework-8 (Zn(2-methylimidazole)2) [ZIF-8],1-Butyl-3-methylimidazolium [bmim],C[N+]1=CN(CCCC)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,,,,,polysulfone [PSF] with 0.06 volume fraction filler ([Zeolitic imidazolate framework-8 [ZIF-8]] and [1-Butyl-3-methylimidazolium [bmim]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]) mixed matrix membrane,polysulfone [PSF],Zeolitic imidazolate framework-8 [ZIF-8],1-Butyl-3-methylimidazolium [bmim],bis(trifluoromethylsulfonyl)imide [Tf2N],,,30,6,307,,26,,https://dx.doi.org/10.1002/anie.201505508,Confinement of Ionic Liquids in Nanocages: Tailoring the Molecular Sieving Properties of ZIF-8 for Membrane-Based CO2Capture,"Ban, Yujie; Li, Zhengjie; Li, Yanshuo; Peng, Yuan; Jin, Hua; Jiao, Wenmei; Guo, Ang; Wang, Po; Yang, Qingyuan; Zhong, Chongli; Yang, Weishen.",Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,54 (51),15483-15487,2015,"Dalian Institute of Chemical Physics, CAS, Dalian, China ; Beijing University of Chemical Technology, Beijing, China ; University of Chinese Academy of Sciences, Beijing, China","Li, Yanshuo",leeys@dicp.ac.cn,"Dalian Institute of Chemical Physics, CAS, Dalian, China"
[Rmim][Tf2N] RTIL R: Si-Me3,SILM,SILM,Porous hydrophilic polyethersulfone [PES],Trimethylsilyl-methyl-imidazolium [(Si-Me3)mim],C[N+]1=CN([Si](C)(C)C)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,,,,,Porous hydrophilic polyethersulfone [PES] supported {[Trimethylsilyl-methyl-imidazolium-based [(Si-Me3)mim]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]},Porous hydrophilic polyethersulfone [PES],Trimethylsilyl-methyl-imidazolium-based [(Si-Me3)mim],bis(trifluoromethylsulfonyl)imide [Tf2N],,,,22,0.9,480,10,12,,https://dx.doi.org/10.1021/ie8016237,Guide to CO2Separations in Imidazolium-Based Room-Temperature Ionic Liquids,"Bara, Jason E.; Carlisle, Trevor K.; Gabriel, Christopher J.; Camper, Dean; Finotello, Alexia; Gin, Douglas L.; Noble, Richard D.",Industrial & Engineering Chemistry Research,Ind. Eng. Chem. Res.,48 (6),2739-2751,2009,"University of Colorado at Boulder, Boulder, Colorado, USA","Gin, Douglas L., Noble, Richard D.",douglas.gin@colorado.edu ; nobler@colorado.edu,"University of Colorado at Boulder, Boulder, Colorado, USA"
[Rmim][Tf2N] RTIL R: Si-Me2Ph,SILM,SILM,Porous hydrophilic polyethersulfone [PES],Dimethylphenylsilyl-methyl-imidazolium [(Si-Me2Ph)mim],C[N+]1=CN([Si](C)(C2=CC=CC=C2)C)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,,,,,Porous hydrophilic polyethersulfone [PES] supported {[Dimethylphenylsilyl-methyl-imidazolium-based [(Si-Me2Ph)mim]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]},Porous hydrophilic polyethersulfone [PES],Dimethylphenylsilyl-methyl-imidazolium-based [(Si-Me2Ph)mim],bis(trifluoromethylsulfonyl)imide [Tf2N],,,,22,0.9,220,10,12,,https://dx.doi.org/10.1021/ie8016237,Guide to CO2Separations in Imidazolium-Based Room-Temperature Ionic Liquids,"Bara, Jason E.; Carlisle, Trevor K.; Gabriel, Christopher J.; Camper, Dean; Finotello, Alexia; Gin, Douglas L.; Noble, Richard D.",Industrial & Engineering Chemistry Research,Ind. Eng. Chem. Res.,48 (6),2739-2751,2009,"University of Colorado at Boulder, Boulder, Colorado, USA","Gin, Douglas L., Noble, Richard D.",douglas.gin@colorado.edu ; nobler@colorado.edu,"University of Colorado at Boulder, Boulder, Colorado, USA"
[Rmim][Tf2N] RTIL R: Siloxane,SILM,SILM,Porous hydrophilic polyethersulfone [PES],3-methyl-1-pentamethyldisiloxaneyl-imidazolium [MeSiOSi-mim],C[N+]1=CN([Si](C)(O[Si](C)(C)C)C)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,,,,,Porous hydrophilic polyethersulfone [PES] supported {[Siloxane-methyl-imidazolium-based [(SiOSi)mim]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]},Porous hydrophilic polyethersulfone [PES],Siloxane-methyl-imidazolium-based [(SiOSi)mim],bis(trifluoromethylsulfonyl)imide [Tf2N],,,,22,0.9,770,10,10,,https://dx.doi.org/10.1021/ie8016237,Guide to CO2Separations in Imidazolium-Based Room-Temperature Ionic Liquids,"Bara, Jason E.; Carlisle, Trevor K.; Gabriel, Christopher J.; Camper, Dean; Finotello, Alexia; Gin, Douglas L.; Noble, Richard D.",Industrial & Engineering Chemistry Research,Ind. Eng. Chem. Res.,48 (6),2739-2751,2009,"University of Colorado at Boulder, Boulder, Colorado, USA","Gin, Douglas L., Noble, Richard D.",douglas.gin@colorado.edu ; nobler@colorado.edu,"University of Colorado at Boulder, Boulder, Colorado, USA"
