Abbreviation,Type_cond,Type,Support/Copolymer/metal-organic framework (MOF),IL Cation name,IL Cation SMILE,IL Anion name,IL Anion SMILE,PIL Monomer Cation name,PIL Monomer Cation SMILE,PIL Anion name,PIL Anion SMILE,Full Name,Material 1,Material 2,Material 3,Material 4,Material 5,Material 6,Temperatures (degC),Pressures (bar),P,P(CO2) Error,alph,alphErr,DOI URL,Article Title,Authors,Journal,J_abb,Volume,Page,Year,Institutions,Corresponding Author,Corresponding Author Email,Corresponding Author Institution
PMMA-b-P(P888 allyl Tf2N),PIL-BCP,PIL-CP,poly(methyl methacrylate) [PMMA],,,,,Allyl(trioctyl)phosphonium [P888 allyl],CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CC=C,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,poly(methyl methacrylate) [PMMA]-block-poly([Allyl(trioctyl)phosphonium [P888 allyl]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]),poly(methyl methacrylate) [PMMA],Allyl(trioctyl)phosphonium [P888 allyl],bis(trifluoromethylsulfonyl)imide [Tf2N],,,,23,isochoric,71,,20,,https://dx.doi.org/10.1039/C4TA00661E,Modular polymerized ionic liquid block copolymer membranes for CO2/N2 separation,"Adzima, Brian J.; Venna, Surendar R.; Klara, Steven S.; He, Hongkun; Zhong, Mingjiang; Luebke, David R.; Mauter, Meagan S.; Matyjaszewski, Krzysztof; Nulwala, Hunaid B.",Journal of Materials Chemistry A,J. Mater. Chem. A.,2 (21),7967-7972,2014,"National Energy Technology Laboratory, Pittsburgh, PA, USA ; Carnegie Mellon University, Pittsburgh, PA, USA","Mauter, Meagan S.",mauter@cmu.edu,"Carnegie Mellon University, Pittsburgh, PA, USA"
[bmim][BF4],SILM,SILM,Porous (150 nm) hydrophobic tetrafluoroethylene–vinylidene fluoride copolymers,1-Butyl-3-methylimidazolium [bmim],C[N+]1=CN(CCCC)C=C1,Tetrafluoroborate [BF4],F[B-](F)(F)F,,,,,Porous (150 nm) hydrophobic tetrafluoroethylene–vinylidene fluoride copolymers supported {[1-Butyl-3-methylimidazolium [bmim]] [Tetrafluoroborate [BF4]]},Porous (150 nm) hydrophobic tetrafluoroethylene–vinylidene fluoride copolymers,1-Butyl-3-methylimidazolium [bmim],Tetrafluoroborate [BF4],,,,23,1,95.07,0.94,8.8,0.1,https://dx.doi.org/10.1016/j.seppur.2016.11.074,Permeability and selectivity of acid gases in supported conventional and novel imidazolium-based ionic liquid membranes,"Akhmetshina, Alsu I.; Gumerova, Olesya R.; Atlaskin, Artem A.; Petukhov, Anton N.; Sazanova, Tatyana S.; Yanbikov, Nail R.; Nyuchev, Alexander V.; Razov, Evgeny N.; Vorotyntsev, Ilya V.",Separation and Purification Technology,Sep. Purif. Technol.,176,92-106,2017,"Nizhny Novgorod State Technical University, Nizhny Novgorod, Russian Federation ; Kazan National Research Technological University, Kazan, Republic of Tatarstan, Russian Federation ; Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation ; Russian Academy of Sciences, Nizhny Novgorod, Russian Federation","Vorotyntsev, Ilya V.",ilyavorotyntsev@me.com,"Nizhny Novgorod State Technical University, Nizhny Novgorod, Russian Federation"
[bmim][doc],SILM,SILM,Porous (150 nm) hydrophobic tetrafluoroethylene–vinylidene fluoride copolymers,1-Butyl-3-methylimidazolium [bmim],C[N+]1=CN(CCCC)C=C1,Bis(2-ethylhexyl) sulfosuccinate [doc],O=S([O-])(C(C(OCC(CCCC)CC)=O)CC(OCC(CCCC)CC)=O)=O,,,,,Porous (150 nm) hydrophobic tetrafluoroethylene–vinylidene fluoride copolymers supported {[1-Butyl-3-methylimidazolium [bmim]] [Bis(2-ethylhexyl) sulfosuccinate [doc]]},Porous (150 nm) hydrophobic tetrafluoroethylene–vinylidene fluoride copolymers,1-Butyl-3-methylimidazolium [bmim],Bis(2-ethylhexyl) sulfosuccinate [doc],,,,23,1,36.19,0.44,18.7,0.2,https://dx.doi.org/10.1016/j.seppur.2016.11.074,Permeability and selectivity of acid gases in supported conventional and novel imidazolium-based ionic liquid membranes,"Akhmetshina, Alsu I.; Gumerova, Olesya R.; Atlaskin, Artem A.; Petukhov, Anton N.; Sazanova, Tatyana S.; Yanbikov, Nail R.; Nyuchev, Alexander V.; Razov, Evgeny N.; Vorotyntsev, Ilya V.",Separation and Purification Technology,Sep. Purif. Technol.,176,92-106,2017,"Nizhny Novgorod State Technical University, Nizhny Novgorod, Russian Federation ; Kazan National Research Technological University, Kazan, Republic of Tatarstan, Russian Federation ; Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation ; Russian Academy of Sciences, Nizhny Novgorod, Russian Federation","Vorotyntsev, Ilya V.",ilyavorotyntsev@me.com,"Nizhny Novgorod State Technical University, Nizhny Novgorod, Russian Federation"
"[P6,6,6,14]2+[CoCl4]2- supported by Hydrophobic PVDF",SILM,SILM,Porous hydrophobic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614]2,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC.CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,Tretrachlorocobalt [CoCl4],Cl[Co-2](Cl)(Cl)Cl,,,,,Porous hydrophobic poly(vinylidene fluoride) [PVDF] supported {[Trihexyl(tetradecyl)phosphonium [P66614]] [Tretrachlorocobalt [CoCl4]]},Porous hydrophobic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614],Tretrachlorocobalt [CoCl4],,,,25,0.45,147.06,,23.24,,https://dx.doi.org/10.1016/j.seppur.2012.01.034,Separation performance of CO2 through Supported Magnetic Ionic Liquid Membranes (SMILMs),"Albo, J.; Santos, E.; Neves, L.A.; Simeonov, S.P.; Afonso, C.A.M.; Crespo, J.G.; Irabien, A.",Separation and Purification Technology,Sep. Purif. Technol.,97,26-33,2012,"Universidad de Cantabria, Santander, Spain ; Universidade Nova de Lisboa, Caparica, Portugal ; Universidade de Lisboa, Lisboa, Portugal ; Instituto Superior Técnico, Lisboa, Portugal","Albo, J., Santos",alboj@unican.es,"Universidad de Cantabria, Santander, Spain"
"[P6,6,6,14]2+[CoCl4]2- supported by Hydrophilic PVDF",SILM,SILM,Porous hydrophilic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614]2,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC.CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,Tretrachlorocobalt [CoCl4],Cl[Co-2](Cl)(Cl)Cl,,,,,Porous hydrophilic poly(vinylidene fluoride) [PVDF] supported {[Trihexyl(tetradecyl)phosphonium [P66614]] [Tretrachlorocobalt [CoCl4]]},Porous hydrophilic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614],Tretrachlorocobalt [CoCl4],,,,25,0.45,149.95,,22.7,,https://dx.doi.org/10.1016/j.seppur.2012.01.034,Separation performance of CO2 through Supported Magnetic Ionic Liquid Membranes (SMILMs),"Albo, J.; Santos, E.; Neves, L.A.; Simeonov, S.P.; Afonso, C.A.M.; Crespo, J.G.; Irabien, A.",Separation and Purification Technology,Sep. Purif. Technol.,97,26-33,2012,"Universidad de Cantabria, Santander, Spain ; Universidade Nova de Lisboa, Caparica, Portugal ; Universidade de Lisboa, Lisboa, Portugal ; Instituto Superior Técnico, Lisboa, Portugal","Albo, J., Santos",alboj@unican.es,"Universidad de Cantabria, Santander, Spain"
"[P6,6,6,14]+[FeCl4]- supported by Hydrophobic PVDF",SILM,SILM,Porous hydrophobic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614],CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,Tretrachloroferrate [FeCl4],Cl[Fe-](Cl)(Cl)Cl,,,,,Porous hydrophobic poly(vinylidene fluoride) [PVDF] supported {[Trihexyl(tetradecyl)phosphonium [P66614]] [Tretrachloroferrate [FeCl4]]},Porous hydrophobic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614],Tretrachloroferrate [FeCl4],,,,25,0.45,259.04,,24.17,,https://dx.doi.org/10.1016/j.seppur.2012.01.034,Separation performance of CO2 through Supported Magnetic Ionic Liquid Membranes (SMILMs),"Albo, J.; Santos, E.; Neves, L.A.; Simeonov, S.P.; Afonso, C.A.M.; Crespo, J.G.; Irabien, A.",Separation and Purification Technology,Sep. Purif. Technol.,97,26-33,2012,"Universidad de Cantabria, Santander, Spain ; Universidade Nova de Lisboa, Caparica, Portugal ; Universidade de Lisboa, Lisboa, Portugal ; Instituto Superior Técnico, Lisboa, Portugal","Albo, J., Santos",alboj@unican.es,"Universidad de Cantabria, Santander, Spain"
"[P6,6,6,14]+[FeCl4]- supported by Hydrophilic PVDF",SILM,SILM,Porous hydrophilic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614],CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,Tretrachloroferrate [FeCl4],Cl[Fe-](Cl)(Cl)Cl,,,,,Porous hydrophilic poly(vinylidene fluoride) [PVDF] supported {[Trihexyl(tetradecyl)phosphonium [P66614]] [Tretrachloroferrate [FeCl4]]},Porous hydrophilic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614],Tretrachloroferrate [FeCl4],,,,25,0.45,206.36,,29.51,,https://dx.doi.org/10.1016/j.seppur.2012.01.034,Separation performance of CO2 through Supported Magnetic Ionic Liquid Membranes (SMILMs),"Albo, J.; Santos, E.; Neves, L.A.; Simeonov, S.P.; Afonso, C.A.M.; Crespo, J.G.; Irabien, A.",Separation and Purification Technology,Sep. Purif. Technol.,97,26-33,2012,"Universidad de Cantabria, Santander, Spain ; Universidade Nova de Lisboa, Caparica, Portugal ; Universidade de Lisboa, Lisboa, Portugal ; Instituto Superior Técnico, Lisboa, Portugal","Albo, J., Santos",alboj@unican.es,"Universidad de Cantabria, Santander, Spain"
"[P6,6,6,14]2+[MnCl4]2- supported by Hydrophobic PVDF",SILM,SILM,Porous hydrophobic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614]2,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC.CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,tretrachloromanganese [MnCl4],Cl[Mn-2](Cl)(Cl)Cl,,,,,Porous hydrophobic poly(vinylidene fluoride) [PVDF] supported {[Trihexyl(tetradecyl)phosphonium [P66614]] [tretrachloromanganese [MnCl4]]},Porous hydrophobic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614],tretrachloromanganese [MnCl4],,,,25,0.45,202.63,,41.2,,https://dx.doi.org/10.1016/j.seppur.2012.01.034,Separation performance of CO2 through Supported Magnetic Ionic Liquid Membranes (SMILMs),"Albo, J.; Santos, E.; Neves, L.A.; Simeonov, S.P.; Afonso, C.A.M.; Crespo, J.G.; Irabien, A.",Separation and Purification Technology,Sep. Purif. Technol.,97,26-33,2012,"Universidad de Cantabria, Santander, Spain ; Universidade Nova de Lisboa, Caparica, Portugal ; Universidade de Lisboa, Lisboa, Portugal ; Instituto Superior Técnico, Lisboa, Portugal","Albo, J., Santos",alboj@unican.es,"Universidad de Cantabria, Santander, Spain"
"[P6,6,6,14]2+[MnCl4]2- supported by Hydrophilic PVDF",SILM,SILM,Porous hydrophilic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614]2,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC.CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,tretrachloromanganese [MnCl4],Cl[Mn-2](Cl)(Cl)Cl,,,,,Porous hydrophilic poly(vinylidene fluoride) [PVDF] supported {[Trihexyl(tetradecyl)phosphonium [P66614]] [tretrachloromanganese [MnCl4]]},Porous hydrophilic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614],tretrachloromanganese [MnCl4],,,,25,0.45,155.01,,21.08,,https://dx.doi.org/10.1016/j.seppur.2012.01.034,Separation performance of CO2 through Supported Magnetic Ionic Liquid Membranes (SMILMs),"Albo, J.; Santos, E.; Neves, L.A.; Simeonov, S.P.; Afonso, C.A.M.; Crespo, J.G.; Irabien, A.",Separation and Purification Technology,Sep. Purif. Technol.,97,26-33,2012,"Universidad de Cantabria, Santander, Spain ; Universidade Nova de Lisboa, Caparica, Portugal ; Universidade de Lisboa, Lisboa, Portugal ; Instituto Superior Técnico, Lisboa, Portugal","Albo, J., Santos",alboj@unican.es,"Universidad de Cantabria, Santander, Spain"
"[P6,6,6,14]3+[GdCl6]3- supported by Hydrophobic PVDF",SILM,SILM,Porous hydrophobic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614]3,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC.CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC.CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,hexachlorogadolinium [GdCl6],Cl[Gd-3](Cl)(Cl)Cl,,,,,Porous hydrophobic poly(vinylidene fluoride) [PVDF] supported {[Trihexyl(tetradecyl)phosphonium [P66614]] [hexachlorogadolinium [GdCl6]]},Porous hydrophobic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614],hexachlorogadolinium [GdCl6],,,,25,0.45,176.35,,30.8,,https://dx.doi.org/10.1016/j.seppur.2012.01.034,Separation performance of CO2 through Supported Magnetic Ionic Liquid Membranes (SMILMs),"Albo, J.; Santos, E.; Neves, L.A.; Simeonov, S.P.; Afonso, C.A.M.; Crespo, J.G.; Irabien, A.",Separation and Purification Technology,Sep. Purif. Technol.,97,26-33,2012,"Universidad de Cantabria, Santander, Spain ; Universidade Nova de Lisboa, Caparica, Portugal ; Universidade de Lisboa, Lisboa, Portugal ; Instituto Superior Técnico, Lisboa, Portugal","Albo, J., Santos",alboj@unican.es,"Universidad de Cantabria, Santander, Spain"
